cn_title,en_title,strategy,comment,ranking,abstract
鼓浪屿,Gulangyu Island,849,31945,1,世界文化遗产，特色店铺众多，建筑漂亮，生活气息和文艺范儿并重。
曾厝垵,Zeng Cuo An Village,2031,5980,1,厦门文创新地标，美食与文化的激情碰撞，去寻找文艺外表下充满生命力的古朴村落。
厦门大学,Xiamen University,2307,12915,2,依山傍海，中西结合的独特建筑风格，被誉为中国最美的大学之一。
中山路步行街,Zhongshan Road Pedestrian Street,1244,3469,3,厦门地标式商业街，欣赏连排的骑楼式建筑，搜罗地道的闽南小吃，感受鹭岛的独特魅力。
环岛路,Huandao Road,1266,5586,6,享受海边骑行的快乐，边骑边看美丽风景。
顶澳仔猫街,Ding'aozai,0,51,0,
南普陀寺,South Putuo Temple,1480,5484,5,全国闻名的佛教寺院，寺内的素斋和素饼都获过奖，还可登高望远。
白城沙滩,Baicheng Beach,752,878,10,靠近厦大的免费沙滩，漫步、海边玩耍，这是天然的休闲公园。
厦门园林植物园,Xiamen Botanical Garden,335,2082,12,环境很好的植物园，有多种稀有植物景观，也适合周末爬山休闲。
沙坡尾避风坞,Shapowei Wind Shelter,290,310,7,
厦门双子塔,Xiamen Twin Towers,42,111,8,厦门新地标，登上55层观光厅，眺望鼓浪屿，俯瞰鹭岛风情。
椰风寨,Yefeng Village,201,288,18,很长的免费沙滩，游客不多，可以远眺金门岛。
黄厝海滨,Huangcuo Beach,116,320,63,厦门观海的极佳选择，环岛路上最天然、最干净的海滩。
钟鼓索道,Zhonggu Cableway,44,579,42,在高空中俯瞰厦门全景，在天然氧吧中任性遨游。
南华路文化吧一条街,Nanhualu Wenhua Ba Yi Tiao Street,25,70,28,
厦门科技馆,Xiamen Science and Technology Museum,89,778,14,可以带孩子来这里感受新科技带来的乐趣，开拓孩子们的视野。
日光岩,Sunlight Rock,375,4156,3,鼓浪屿的最佳观景点，从上而下俯视鼓浪屿全岛及厦门市区景象。
集美大学,Jimei University,73,160,32,
集美学村,Jimeixue Village,298,997,16,风格中西合璧的大学城，可以在校园里感受浓重的学术氛围。
最美转角,Most Beautiful Corner,0,14,0,
沙坡尾艺术西区,Shapowei Art Zone West District,77,97,3,
胡里山炮台,Hulishan Fort,561,3006,11,这里有着大大小小的炮台，带你走近并了解那段历史。
厦门海底世界,Xiamen Underwater World,52,1060,2,有迄今为止中国发现最大的抹香鲸骨架。
风琴博物馆,Organ Museum,138,776,14,在音乐之岛鼓浪屿逛风琴博物馆，看各种复古的风琴。
菽庄花园,Xinzhuang Garden,298,2398,7,看闽南风格融合西洋色彩的园林景观。这里也有很好的观海点。
珍珠湾,Pearl Bay,118,238,86,沙细水清，还有轻风拂面，来到海边千万不要错过这个沙滩浴场。
一国两制沙滩,One Country Two Systems Sand Beach,3,9,128,
天竺山森林公园,Tianzhu Mountain Forest Park,6,132,137,来“厦门后花园”亲近自然，感受绿意盎然的山林风光，欣赏澄澈镜面的湖水倒影。
闽南古镇,Minnan Ancient Town,1,41,52,
观音山,Mount Guanyin,74,50,26,
松柏公园,Songbai Park,1,80,156,
万国建筑博览,World Architecture Expo,30,438,17,各种风格各异、中西合壁的中外建筑非常值得一看。
黄厝沙滩,Huangcuo Beach,47,53,39,
皓月园,Haoyue Garden,191,1269,18,看郑成功巨型石像，纪念人民英雄。
演武大桥,Yanwu Bridge,117,130,176,
蔡尖尾山公园,Caijianwei Mountain Park,0,8,204,
琴园,Qinyuan Garden,43,295,31,鼓浪屿核心景点之一，百鸟园就在这个景区内。
大德记浴场,Dadeji Bathing,10,27,3,
厦门南顺鳄鱼园,Nanshun Crocodile Park,0,4,0,
上李水库,Shangli Reservoir,3,22,449,
厦门老院子景区,Xiamen Old Courtyard Scenic Spot,8,233,33,置身渔村古厝，身临其境感受传统文化，观看大型实景演出，寻找闽南民族文化脉络。
鼓浪屿环岛海滨浴场,Gulangyu Roundabout Beach,42,453,53,
毓园,Yu Garden,42,284,50,为纪念林巧稚大夫而建的纪念馆，恬静的园林景观，景色不错。
厦门园林博览苑,Xiamen Horticultural Expo Garden,17,417,41,园林大观园，一次性参观多种园林风格，空气清新很适合漫步。
环岛路海滩,Huandaolu Beach,4,36,212,
华新路,Huaxin Road,93,94,38,隐藏着厦门半个世纪的历史，漫步每栋建筑，寻找背后的历史故事。
天沐温泉度假村,Tianmu Hot Springs Resort,1,153,4,六十多个功能各异的养生温泉池，环境宜人，适合休闲放松。
香山,Xiang Mountain,0,1,0,
云上厦门观光厅,Clouds Above Xiamen Viewing Platform,23,246,22,
海湾公园,Bay Park,77,310,36,可在公园内远眺大海，吹海风，附近的酒吧街更是泡吧族们的最爱。
铁路文化公园,Railway Culture Park,329,522,20,由铁路轨道改建的免费公园，适合散步。
大嶝岛,Dadeng Island,41,163,30,
怪坡,Strange Slope,26,61,21,
海天堂构,Sea paradise,52,460,10,看中西合并的建筑风格，随意遐想当时人们的生活。
金光湖,Jinguang Lake,6,111,96,
马銮湾环湾带状公园,Belt-shaped Park around Maluan Bay,0,0,0,
UncommonPlace不凡之地艺术空间,UncommonPlace Art Space,0,0,0,
厦门市鼓浪屿风景名胜区-天主教堂,Xiamenshi Gulangyu Fengjing Mingshengqu-Tianzhu Church,0,4,0,
翔安隧道,Xiang'an Tunnel,0,13,0,
集美市民公园,Jimeishimin Park,0,9,355,
金銮湾,,9,11,565,从福建 漳州市铜陵镇沿西铜公路西行2公里处，有一条宽阔、笔直的水泥大道，把你引向海滨，这就是闻名遐迩的马銮湾海滨浴场。
钟鼓山景区空中缆车,,0,0,0,
上李水库公园,Shanglishuiku Park,0,8,0,
厦门青少年天文科技馆,Xiamen Youth Astronomy Science &amp; Technology Museum,3,595,74,
鸿山公园,Hongshan Park,21,131,133,
北辰山,Beichen Mountain,1,101,220,可以看十二龙潭瀑布，形态各异，水潭清澈见底。
汀溪水库,Xiamen Tingxi Reservoir,3,12,317,
七彩池,Colorful Pool,0,6,361,
厦门市动物园,Xiamenshi Zoo,0,16,54,
顶上生态风景区,,0,3,244,顶村村，距厦门岛约40公里，该山村平均海拔400米，有着600多年历史。如诗如画的山水、绿意盎然的植被、善良 淳朴的民风闻名遐迩。
翔安香山岩,,1,4,164,翔安香山岩，位于吕塘村，内含古朴的村庄，古老的寺庙，千年以上的老榕树是一处具有古老闽南文化特色的旅游风景区。
白鹭洲公园,Bailuzhou Park,129,512,34,草坪修建得很漂亮，有个很大的湖，环境很好的免费公园！
五缘湾湿地公园,Wuyuanwan Wetland Park,97,310,31,漫步木栈道，看水鸟在氤氲雾气中起落飞翔，享受城市绿肺的清新空气。
台湾民俗村,Xiamen Taiwan Folk Village,55,333,24,
海上明珠观光塔,Sea Pearl Tourist Tower,6,96,17,
钢琴博物馆,Piano museum,144,856,5,在音乐之岛鼓浪屿逛钢琴博物馆，看各种造型奇特的的古钢琴。
郑成功纪念馆,Zheng Chenggong Memorial Hall,49,371,30,是国内非常大的郑成功文物文献收藏中心和研究基地。
龙山洞,Longshan Cave,14,75,41,一个凉爽的隧道 ，夏天是个避暑的好地方。
笔山洞,Bishan Cave,14,69,23,连接龙头路到内厝奥的一条隧道，感觉充满了故事。
五老峰,Wulao Peak,151,278,55,享受游山的乐趣，站在山顶可以鸟瞰厦门大学和鼓浪屿。
海角八号,,6,10,19,
厦门市博物馆,Xiamen City Museum,20,142,48,
厦门大学芙蓉湖,Xiamen University Furong Lake,59,465,81,
鼓浪屿龙头路,,402,129,22,鼓浪屿龙头路是鼓浪屿主要街道之一，美食、购物，应有尽有，小资情调十足。
黑糖(顶澳仔店),,1,1,150,
鼓声洞,Gusheng Cave,6,24,56,
同安影视城,Xiamen Tong'An Movie &amp; TV City,17,180,79,各种仿古建筑，亲临古城，沉醉在古建筑的魅力里。
集美航天城,Jimei Aerospace City,1,13,308,
筼筜湖,Yundang Inner Lake,36,108,88,
小嶝岛,Xiaodeng Island,10,135,131,可以出海捕鱼、或者海边垂钓、或者仅仅享受海鲜的美味。
美华沙滩,Meihua Beach,13,55,19,
青礁慈济宫,Ciji Palace of Qingjiao,2,109,160,
科德航空研学基地,,0,1,0,
贵州铜仁寨英古镇,"Saiying Ancient Town, Tongren, Guizhou",0,0,0,
中非世野野生动物园,Zhongfei Shiye Yesheng Zoo,0,13,0,
厦门北站广场,Xiamen North Railway Station Square,0,29,0,
清水宫,Qingshui Palace,0,0,0,
厦门灵玲动物王国,Xiamen Lingling Animal Kingdom,0,12,0,
阳光乐园,,0,0,0,
海沧湾公园,Haicangwan Park,0,28,0,
翔安古宅,Guzhai,0,0,329,
厦门儿童公园,Xiamen Children Park,0,17,189,
厦门大学科技园,,0,9,272,
厦门大学颂恩楼,Songen Building in Xiamen University,0,151,192,
番婆楼,Fanpo Building,2,91,13,洛可可风格融入中国特色的漂亮建筑物，拥有岛上最高大的门楼。
东坪山公园,Dongping Mountain Park,5,19,546,
演武大桥观景平台,Yanwu Bridge Observation Deck,36,63,138,
诚毅科技探索中心,Chengyi Discovery Center,5,272,47,
五通灯塔公园,Xiamen Wutong Lighthouse Park,10,58,106,
翠丰温泉,,2,28,46,景色优美的同安汀溪水库风景区，幽雅舒适的环境，天然纯净的温泉，汇粹了闽南地域文化。
三一堂,Trinity Church,24,137,11,白色的顶，红色的墙，漂亮的教堂。
鳌园,Turtle Garden,80,259,43,
龙舟池,The Lake of Dragon Boat,52,136,224,
嘉庚公园,Jiageng Park,49,456,82,陈嘉庚建筑群的重要组成部分，了解陈嘉庚先生的生平。
狮山,Lion Mountain,25,124,125,
情人谷,Lovers' Valley,59,127,83,
甘露寺,Ganlu Temple,0,0,0,
竹坝芳都观光果园(厦门芳都观光果园有限公司),,0,0,0,
洋麻山森林公园,Yangmashan Forest Park,0,1,389,
梅山寺,Meishan Temple,0,18,469,
云顶山,Yunding Mountain,2,10,127,
大雄宝殿,Hall of Ceremony,11,74,118,
云洋村,,0,0,562,云洋村地处同安莲花镇东北部， 东串文山与汀溪镇褒美村比邻、 南接祥平街道溪声社区往城区、西连窑市村通镇区、北邻云埔村达安溪县。
仙岳山,Xianyue Mountain,7,29,142,
厦门岛,Amoy,229,25,51,厦门岛简称鹭岛或厦港，原名嘉禾屿明朝改称厦门岛。厦门岛因过去政府填海造地使现面积约达172平方公里，南北长14.7公里，东西宽12.5公里，岛上有两个最大的内海湾分别是五缘湾和筼筜港（因围海造地现称筼筜湖）。
中山公园,Zhongshan Park,136,377,27,
玫瑰圣母堂,Holy Rosary Church,21,20,34,
钢琴码头,The Piano Dock,30,116,20,
陈嘉庚先生故居,Xiamen Guilai Park,56,159,149,
万石岩,Ten-Thouand-Rock,10,94,296,
观海园,Guanhai Garden,4,75,51,
厦门大桥,Xiamen Bridge,20,165,93,
海沧大桥,Haicang Bridge,40,39,297,
华侨亚热带植物引种园,Overseas Chinese Subtropical Plant Introduction Garden,3,74,42,
延平故垒,Yanping Ancient Village,3,32,298,
天界寺,Xiamen Tianjie Temple,4,47,299,厦门小八景之一，可焚香祈福，也可登高赏美景。
鼓浪屿日本领事馆旧址,,8,16,21,日本领事馆建于1897年，由中国工匠王天赐设计承建，以拱券宽廊仿英式别墅为基调，使用西洋双柱桁架与中国传统坡顶相折衷，具有维多利亚时代的某些建筑特征，女墙和廊沿压条下均采用闽南土陶烧制的花瓶为装饰，古朴典雅。领事馆面积600平方米，两层…
虎溪岩,Huxi Cave,13,66,300,
华侨博物院,Oversea Chinese Museum,19,154,107,全面及系统地展示华侨华人历史的综合性博物馆。
景州乐园,,4,4,175,"景州乐园以“山水有情、人间有爱”为主题,园里的布局典雅、浪漫,五彩缤纷的花园里，错落着形态各异的艺术雕像，充满了欧美的艺术情调。"
英国领事馆旧址,,12,12,52,
林语堂故居,Linyutang Former Residence,3,90,53,
南湖公园,Xiamen Nanhu Park,8,72,174,
紫云岩,,5,1,225,"紫云岩位于醉仙岩东面，周围群山峥嵘，时有云雾潦绕，瞵息之间，气象万千，仿佛飘浮在茫茫烟海之中。清人郑光沂在危岩下刻“紫云得路”四字，固而名声远扬。
紫云岩有达中庵，建于明代，清废，民国十九年（公元1930年）重修，有大雄宝殿、客堂、积…"
复兴堂,Fuxing Church,2,11,54,
李清泉别墅,Li Qingquan Villa,2,18,40,
一朵一果,,2,3,55,一朵一果是专卖特色的明信片和笔记本的小店。
货币文化馆,Xiamen Numismatic Museum,1,1,305,
金榜公园,Xiamen Jinbang Park,34,239,173,
不在书店,ONCE Bookstore,64,38,233,这是一处将花店和书店融为一体的小小天堂，不定期举办读书会、民谣演出等活动。
白鹿洞寺,White Deer Cave Si,4,60,306,
文曾路花溪,,6,6,60,文曾路的花溪，每年的春节以后盛开。盛开期间，吸引了众多的市民，前来赏花摄影。
英雄三岛,Heroes Three-island,7,72,309,
十二龙潭,Xiamen Twelve Dragons Lake,3,8,311,
书法广场,Xiamen Calligraphy Square,34,149,54,
协和礼拜堂,Union Church,12,44,58,
火烧屿生态乐园,Huoshaoyu Island,1,10,72,
孔庙,,3,3,223,座落在同安县城东溪西畔，始建于五代，现存的建筑是清朝乾隆年间重建的大成殿。现在的孔庙已成为同安区博物馆，陈列着200多件从全县各地收集的石雕、碑刻，神态各异，造型逼真，精湛的工艺令游人赞叹不已，人称“同安兵马俑”。
笔山公园,Bishan Park,5,26,44,
中国唱片博物馆,China Record Museum,7,61,59,
内厝澳路,,15,7,32,
苏颂故居,Former Residence of Su Song,2,26,312,
胡里山海滨浴场,Hulishan Bathing Beach,4,103,61,
1号海岸沙滩音乐餐厅,,4,0,313,
博饼民俗园,Xiamen Bobing Minsu Yuan,1,50,139,
泰慢,,1,1,60,
陈嘉庚纪念胜地,Chen Kah Kee Memorial Resort,6,159,141,
梵天禅寺,Fantian Buddhist Temple,4,66,314,
厦门国防教育展览馆,XiaMen GuoFang JiaoYu ZhanLanGuan,1,11,315,
溜溜公社,,1,1,158,
美国领事馆旧址,American Consulate Former Site,3,23,9,
宋代瓷窑遗址,Xiamen Song Kiln Sites,4,4,316,
鹭江道,Lujiang Road,47,48,97,
Cantone,,1,0,61,
梅海岭,Meihai Mountain,18,34,237,
厦门海洋珍稀物种自然保护区,,2,2,226,"厦门海洋珍稀物种自然保护区位于福建省厦门市海域，总面积33088公顷。保护区保护区由原有的厦门中华白海豚省级保护区、厦门大屿白鹭省级保护区和厦门文昌鱼市级保护区合并而成。
保护区保护12种珍稀物种及其生境，分别是国家一级保护动物中华白海豚…"
金瓜楼,Golden Melon Villa,5,113,62,用色大胆，造型奇特，漂亮的建筑物。
亦足山庄,yizushanzhang,1,38,63,
王艺大师素描,,3,0,64,
厦门清真寺,,1,3,319,厦门清真寺，位于福建省厦门市玉屏路西侧。该寺坐西朝东，呈狭长方形，总共分为三进，入门是天井庭院，二门内为大厅和厢房，三门内是礼拜殿，殿顶为悬山式建筑。
闽台小镇,Fujian and Taiwan Town,3,25,234,
银石牛排馆,,1,0,320,
国际会展中心,International Convention and Exhibition Center,70,169,50,
李林烈士纪念园,Memorial Park of Martyr Li Lin,1,2,322,
欢唱量贩式KTV(湖滨中路店),,1,0,323,
观彩楼,Guancai Building,3,34,65,
龙头山寨遗址,,1,1,66,龙头山寨遗址位于思明区鼓浪屿日光岩上。日光岩古称为龙头山，又称晃岩。清顺治四年（1647），郑成功辟厦门为抗清复台基地，龙头山（即日光岩）系其建寨屯防址之一。
古避暑洞,Ancient Summer Shelter,4,35,47,
四落大厝,Siluo Houses,3,81,67,
中国首家水陆空俱乐部,,3,0,324,"位于闽南金三角的长泰中国首家水陆空俱乐部是国内首家在一个景区同时开展水陆空一体游及酒店配套服务的旅游企业，是中国皮划艇激流回旋运动的摇篮、福建省漂流旅游定点单位、福建省全民健身活动中心、中国（厦门）国际旅游节推荐景点。
俱乐部以原…"
上弦场,,53,15,162,上弦场是厦门大学主体育场，是一个半椭圆形的大运动场，利用楼群与运动场之间的落差，因地制宜地砌成可容纳两万人的大看台，由于运动场与看台都呈弧形，恰似上弦月，故称之为“上弦场”。
兴贤宫,,2,1,68,兴贤宫是鼓浪屿最宏伟的保生大帝宫庙，肇建于明朝，坐落在美丽的日光岩山下，兴贤宫位于鼓浪屿晃岩路与中华路的交叉处。
鼓浪屿邮电支局,Gulangyu Post Sub-bureau,1,9,39,
德安古堡,,0,37,232,
燕尾山生态公园,Yanwei Mountain Ecology Park,6,38,43,
灌口凤山庙,,3,1,325,灌口凤山庙位于集美区灌口镇灌口街北侧，距集美镇只有7公里。凤山庙建于明末天启、崇祯年间（1621-1644年）。该庙原为两进宫殿式结构的建筑物，前殿有八幅青石窗雕、盘龙石柱、青石雄狮、石柱楹联及屋顶是翘角式明代石雕装饰，双龙抢珠的艺术雕塑，…
坂头森林公园,Xiamen Bantou Forest Park,1,4,326,
新萌现代艺术馆,Xinmeng Modern Art Gallery,1,0,327,
江头公园,Jiangtou Park （West Gate）,1,36,105,
鲁迅纪念馆,Lu Xun Memorial Hall,18,117,238,
福建源古历史博物馆,Fujian Yuangu Lishi Museum,0,19,229,
惠和石文化园,Huihe Stone Cultural Park,0,153,66,
福音堂,Gospel Church,5,16,69,
观天下闽台宗祠博物馆,,0,0,328,
牛庄文化园,,1,2,230,厦门牛庄园区景观近八千平，集四个主题文化广场、艺术牛、水榭亭台、咖啡吧、创意牛车等景点于一体，艺术牛展览、小牛体验营，独一无二的文化艺术特色优势，已接待来自全国各地游客近百万人。
大屏山公园,,0,0,0,
岩山,,0,0,0,
鹭江,,0,0,0,
溪林花海,,0,0,0,
大山母,,0,0,0,
香花海,,0,0,0,
青龙宫,,0,0,0,
海洋科技博物馆,,0,0,0,
北岸艺术区,,0,0,0,
金山海恋温泉度假山庄,,0,0,0,
新景步行街,,0,0,0,
鲸探海洋科普研学基地,,0,0,0,
水天花月广场,,0,0,0,
后滨池府龙威殿,,0,0,0,
林巧稚大夫,,0,0,0,
南湖公园-日本园,,0,0,0,
海丝陶瓷艺术馆,,0,0,0,
小岛纪念馆,,0,0,0,
法治文化广场,Legal System Cultural Plaza,0,0,0,
铁道文化公园,,0,0,0,
雪樵公园,,0,0,0,
冰雪企鹅城,,0,0,0,
丝绸文化博览馆,,0,0,0,
厦门老街博物馆,,0,0,0,
梅山公园,,0,0,0,
东浦公园,,0,0,0,
陈嘉庚语录碑廊,,0,0,0,
梦之岛主题公园,,0,0,0,
厦门安哥拉巨兔主题馆,,0,0,0,
小池塘艺术馆,,0,0,0,
sugar社交油画,,0,0,0,
盘古博物馆,,0,0,0,
嵩屿码头,,0,0,0,
东渡邮轮码头,,0,0,0,
文笔塔公园,,0,0,0,
厦门天山泉温泉度假山庄,,0,0,0,
郑成功碑廊,,0,0,0,
美峰生态公园,,0,0,0,
火烧屿景区,,0,0,0,
马垅社,,0,0,0,
鱼乐圈,,0,0,0,
斑鸠山公园,,0,0,0,
社会主义核心价值观主题公园,,0,0,0,
洪文老夜市,,0,0,0,
蚶壳井,,0,0,0,
画说创想艺术馆,,0,0,0,
十八王公文化公园,,0,0,0,
厦门国际友好公园,,0,0,0,
观音山沙雕文化公园,,0,0,0,
珍珠海滨浴场,,0,0,0,
筼筜湖带状公园,,0,0,0,
闽南之韵,,0,0,0,
东宅村新风公园,,0,0,0,
昭应宫,,0,0,0,
英国领事公馆旧址,,0,0,0,
绿山墙美术馆,,0,0,0,
深青驿遗址,,0,0,0,
厦门国际雕塑公园,,0,0,0,
集美海洋动物馆,,0,0,0,
各界抗敌后援会会址,,0,0,0,
中山华侨公园,,0,0,0,
园山,,0,0,0,
飞行多功能厅,,0,0,0,
海沧礼拜堂,,0,0,0,
OYAN ART,,0,0,0,
国家地理·深蓝海洋互动展(磐基名品中心),,0,0,0,
陨石博物馆,,0,0,0,
世纪画廊,,0,0,0,
厦金湾赶海场,,0,0,0,
禾伯鲜农创新农场,,0,1,0,
正新汽车国际文化中心,,0,0,0,
郑成功石雕像,,0,0,0,
艾比仿生机器人体验馆,,0,1,0,
英华书院教师楼,,0,1,0,
北欧当代艺术中心,,0,1,0,
观音山奇幻未来乐园,,0,0,0,
宝凤剪纸艺术馆,Baofeng Paper-cutting Art Museum,0,0,0,
城建石塘体育公园,Urban Construction Shitang Sports Park,0,0,0,
影视娱乐城,Film and Television Entertainment Park,0,0,0,
厦门海关通讯塔旧址,Site of Communication Tower of Xiamen Customs,0,0,0,
君汝海滩,Junru Beach,0,0,0,
西西里小镇,,0,0,0,
七星法治文化街区,Qixing Legal Culture Block,0,0,0,
渔村时光空间,The Time Space of Fishing Village,0,0,0,
泰华宸美术馆,T.H.C Art Museum,0,0,0,
鼓锣公园,Guluo Park,0,0,0,
仧美术馆,,0,0,0,
厦门革命烈士事迹陈列馆,Exhibition Hall of the Deeds to the Revolutionary Martyrs of Xiamen,0,0,0,
彭德清纪念馆,Peng Deqing Memorial Hall,0,0,0,
鼓浪屿龙头路,"Longtou Road, Gulangyu Island",0,1,0,
美峰公园,Meifeng Park,0,2,0,
五缘湾沙滩,Wuyuanwan Beach,0,0,0,
联发文创口岸,,0,0,0,
联发东南天地文化创意产业园,XUDC · Southeast World Cultural and Creative Industry Park,0,0,0,
同民医院功德碑,Merit Monument of Tongmin Hospital,0,0,0,
淮阳江氏宗祠,"Ancestral Hall of Family Jiang, Huaiyang",0,0,0,
厦门市思明区东浦路12之二十九,,0,0,0,
厦金湾直升机观光体验,,0,0,0,
厦门台湾小三通套票,,0,0,0,
春归山房,Chungui Mountain House,0,0,0,
石伏狮,Shifushi Scenic Spot,0,0,0,
嫣熊阁,Yanxiong Pavilion,0,0,0,
烂尾楼,,0,1,0,
厦门洪坑岩寺,"Hongkengyan Temple, Xiamen",0,0,0,
西塘社区公园,Xitang Community Park,0,0,0,
奉扬仁风,,0,0,0,
土地公庙,Earth God Temple,0,0,0,
金门县政府旧址,Jinmen Government Former Site,0,0,0,
同安造水村樱花园,Tong Anzaoshuicun Ying Garden,0,0,0,
云顶岩寺,Yunding Cliff Temple,0,0,0,
虎头山公园,Hutou Mountain Park,0,0,0,
坂头水库,Bantou Reservoir,0,0,0,
狐尾山,Huweishan Park (South Gate),0,2,0,
鼓浪屿历史文化陈列馆,Gulangyu Lishi Culture Exhibition Hall,0,1,0,
白虎岩风景区,Baihuyan Sceneic Area,0,0,0,
观音寺,Guanyin Temple,0,0,0,
竹坝水库,Zhuba Reservoir,0,0,0,
厦门鼓浪屿珍奇世界,Zhenqi World,0,0,0,
杨家园,Yang's Villa,0,0,0,
厦门大学生物博物馆,Xiamen Daxue Sheng Museum,0,0,0,
薛岭山公园,Xueling Mountain Park,0,2,0,
厦门轮渡码头游客中心,Xiamen Lundu Matou Youke Center,0,0,0,
黄荣远堂别墅,Huangrong Yuantang Villa,0,0,0,
晚清教育展区,Late Qing Dynasty Education Exhibition Area,0,0,0,
李家庄,Lijiazhuang Village,0,0,0,
鼓浪屿-万石山国家重点风景名胜区,Gulangyu-Wanshi Mountain National Key Scenic Area,0,0,0,
鼓楼,Drum Tower,0,0,0,
厦门园博园,Xiamen Garden Expo Park,0,0,0,
厦门海洋公园,Xiamenhaiyang Park,0,1,0,
顶上人家,,0,1,0,
和记洋行货栈遗址,Site of Hutchison Foreign Firm Warehouse,0,2,0,
翼盒魔方,,0,1,0,
福建省印象五号石文化博物馆,Fujiansheng Yinxiang Wuhaoshi Culture Museum,0,0,0,
沙坡尾活态文化展示馆,Shapowei Living Culture Exhibition Hall,0,2,0,
白鹭女神雕像,Statue of Egret Goddess,0,7,0,
军梦双拥双创科技园,Military Dream Innovation &amp; Entrepreneurship Technology Park,0,0,0,
汇盈大厦,,0,0,0,
鹭潮鼓浪屿美院,,0,0,0,
圣旨珍品馆,Pavilion of Imperial Edicts,0,0,0,
乐玩街,Lewan Street,0,2,0,
保生大帝雕像,Statue of Bao-sheng-da-di,0,2,0,
燕尾山午炮遗址,Yanwei Mountain Wupao Relic Site,0,2,0,
嘉禾良库文化创意产业园,Jiahe Liangku Cultural and Creative Industrial Park,0,16,0,
捕梦人间,,0,0,0,
神奇的盔甲武士世界螃蟹馆,"House of Crabs, Amazing Warrior in Armor",0,0,0,
从聿书店,,0,4,0,
李府将军庙,Lifu Jiangjun Temple,0,0,0,
鹫峰堂,Jiufeng Hall,0,1,0,
日本警察署及宿舍旧址,Riben Jingchashu Ji Sushe Site,0,0,0,
厦门木天林园林绿化有限公司,,0,0,0,
同安城隍庙,,0,0,0,
曾林社区继成堂相泼公宫,,0,0,0,
好味亭博物馆,,0,0,0,
厦门家后生态农场,,0,0,0,
厦门同安影视城-长廊,"Long Corridor, Tong'an Movie Town, Xiamen",0,1,0,
厦门同安影视城-凉亭,"Kiosk, Xiamen Tongan Movie Town",0,0,0,
丽缘园艺,,0,0,0,
东坪山半领宫,,0,0,0,
白哈礁,,0,0,0,
九龙塘文化园,Kowloon Tong Cultural Park,0,0,0,
名校风华园,Elite Universities Fenghua Garden,0,0,0,
深圳四季青园林花卉有限公司,,0,0,0,
鹫峰禅院,,0,0,0,
明代大炮,Cannon of Ming Dynasty,0,0,0,
曾厝安水母世界,Cengcuo'an Shuimu World,0,0,0,
厦门怡亭绿化工程有限公司,,0,0,0,
大离浦屿,,0,0,0,
小离浦屿,,0,0,0,
鼓浪屿管风琴艺术中心,Gulangyu Guanfengqin Art Center,0,13,0,
集美后田渔村,,0,0,0,厦门最干净的海岸之一。
海沧青礁慈济祖宫景区,Haichang Qingjiaocijizugong Scenic Spot,0,0,0,
厦门文化博览馆,WenHua BoLanGuan,0,0,0,
厦门尚忠文明街,ShangZhong WenMing Jie,0,0,0,
厦门博饼民俗街,XiaMen BoBing MinSu Jie,0,0,0,
厦门前埔不夜城,QianPu BuYeCheng,0,10,0,
厦门莲坂时尚地下街,LianBan ShiShang DiXia Jie,0,0,0,
厦门摩尔莲花美食街,MoEr LianHua MeiShiJie,0,0,0,
厦门闽台特色食品街,MinTai TeSe ShiPin Jie,0,0,0,
厦门金山花园商业街,JinShan HuaYuan ShangYeJie,0,0,0,
厦门假日集市地下步行街,JiaRi JiShi DiXia BuXingJie,0,0,0,
厦门虎城美食街,HuCheng MeiShiJie,0,0,0,
湖里金街,HuLiJin Jie,0,0,0,
厦门光华美食街,GuangHua MeiShiJie,0,0,0,
厦门古城风云游览馆,GuCheng FengYun YouLanGuan,0,0,0,
厦门福满步行街,FuMan BuXingJie,0,0,0,
厦门福津商业大街,FuJin ShangYe DaJie,0,0,0,
厦门福隆美食街,FuLong MeiShiJie,0,0,0,
厦门服饰商业街,FuShi ShangYeJie,0,0,0,
厦门都市恬园商业步行街,DuShi TianYuan ShangYe BuXingJie,0,0,0,
